x	y	0	tf
attribqt	attributes	attributes	True
ssionary	missionary	missionary	True
comsunit	communities	communities	True
zevastut	devastating	devastating	True
mangeme	management	management	True
oitsland	outstanding	outstanding	True
vawidmty	validity	validity	True
petitiin	petition	petition	True
simzlarl	similarly	similarly	True
tebhnolo	technology	technology	True
istinguished	distinguished	distinguished	True
brittish	british	britash	False
elicided	elicited	elicited	True
completedjth	completed the	completed the	True
illenn	millennia	millennia	True
memorab	memorable	memorable	True
recrren	recurrence	recurrence	True
oaborato	laboratory	laboratory	True
muniucipaylity	municipality	municipality	True
architechtures	architectures	architectures	True
rbuili	rebuilding	rebuilding	True
differentiationsa	differentiations	differentiations	True
concevte	conceited	conceited	True
occasiot	occasions	occasiona	False
inlabitaa	inhabitants	inhabitants	True
pseudon	pseudonym	pseudonym	True
suppos	supposes	supposes	True
conerne	concerned	concerned	True
missle	missile	misscle	False
nmittxng	omitting	omitting	True
puerto ricanp	puerto rican	puerto ricans	False
beleaguez	beleaguered	beleaguered	True
renwne	renowned	renowned	True
miniscent	reminiscent	reminiscent	True
northereastern	northeastern	northeastern	True
recennaizssan	reconnaissance	reconnaissance	True
acestry	ancestry	ancestry	True
ompletely	completely	completely	True
derive	derived	derived	True
compeitios	competitions	competitions	True
discone	disconnects	disconnects	True
controvenrsia	controversial	controversial	True
psrsista	persistence	persistente	False
bellier	belligerent	belligerent	True
vironments	environments	environments	True
mildiqna	millionaire	millionaire	True
tmorrow	tomorrow	tomorrow	True
commerically	commercially	commercially	True
ommemorati	commemorating	commemorating	True
ggression	aggression	aggression	True
surviv	survived	survivod	False
dsareemnt	disagreement	disagreement	True
duropean	europeans	european	False
regulirl	regularly	regularly	True
oleule	molecules	molecules	True
mispebsi	dispensing	dispensing	True
cntrbutors	contributors	contributors	True
archniuec	architect	architect	True
dozumect	documented	documentsd	False
sccessfully	successfully	successfully	True
praphernali	paraphernalia	paraphernalia	True
technique	techniques	techniques	True
conant	constant	constant	True
artifci	artificial	artificial	True
hiergly	hieroglyph	hieraglyph	False
inadvgrt	inadvertent	inadvertent	True
eliiou	religiously	religiously	True
mensions	dimensions	dimensions	True
regulatm	regulators	regulators	True
cznsterndatioj	consternation	consternation	True
internationaj	international	international	True
derogat	derogatory	derogatory	True
afdcrona	aficionados	aficionados	True
premiebe	premiere	premiered	False
guarknte	guarantee	guarantees	False
remenant	remnant	remnant	True
laziness	laziness	laziness	True
republwc	republic	republicay	False
kindergabrtwn	kindergarten	kindergarten	True
adequa	adequate	adequate	True
criticisin	criticising	criticising	True
pzoportional	proportional	proportional	True
diminut	diminutive	diminutive	True
populiri	popularity	popularity	True
independeatl	independently	independently	True
metllu	metallurgy	metallurgy	True
download	downloads	downloads	True
surreptiiou	surreptitious	surreptitiously	False
disproporionae	disproportionate	disproportionate	True
excetio	exceptional	exceptional	True
obtace	obstacle	obstacle	True
symetrical	symmetrical	aymmetrical	False
criticix	criticizing	criticizeng	False
hawpened	happened	happened	True
grammaticjll	grammatically	grammatically	True
aailabl	available	available	True
competi	competition	competition	True
reforenc	reference	reference	True
cunabula	incunabula	incunabula	True
chlren	children	chaldren	False
proceei	proceeding	proceeding	True
supersede	superseded	superseded	True
distinu	distinguish	distincuish	False
possbesse	possesses	possesses	True
unusablek	unusable	unusable	True
bodybuild	bodybuilder	bodybuilder	True
wfoundland	newfoundland	newfoundland	True
idiyncrasy	idiosyncrasy	idiosyncrasy	True
clear	clearer	clear	False
orwgqnal	originally	originally	True
armamant	armament	armament	True
veietavl	vegetable	vegetables	False
recat	recall	recap	False
illoica	illogical	illogical	True
