x,y
attribqt,attributes
ssionary,missionary
comsunit,communities
zevastut,devastating
mangeme,management
oitsland,outstanding
vawidmty,validity
petitiin,petition
simzlarl,similarly
tebhnolo,technology
istinguished,distinguished
brittish,british
elicided,elicited
completedjth,completed the
illenn,millennia
memorab,memorable
recrren,recurrence
oaborato,laboratory
muniucipaylity,municipality
architechtures,architectures
rbuili,rebuilding
differentiationsa,differentiations
concevte,conceited
occasiot,occasions
inlabitaa,inhabitants
pseudon,pseudonym
suppos,supposes
conerne,concerned
missle,missile
nmittxng,omitting
puerto ricanp,puerto rican
beleaguez,beleaguered
renwne,renowned
miniscent,reminiscent
northereastern,northeastern
recennaizssan,reconnaissance
acestry,ancestry
ompletely,completely
derive,derived
compeitios,competitions
discone,disconnects
controvenrsia,controversial
psrsista,persistence
bellier,belligerent
vironments,environments
mildiqna,millionaire
tmorrow,tomorrow
commerically,commercially
ommemorati,commemorating
ggression,aggression
surviv,survived
dsareemnt,disagreement
duropean,europeans
regulirl,regularly
oleule,molecules
mispebsi,dispensing
cntrbutors,contributors
archniuec,architect
dozumect,documented
sccessfully,successfully
praphernali,paraphernalia
technique,techniques
conant,constant
artifci,artificial
hiergly,hieroglyph
inadvgrt,inadvertent
eliiou,religiously
mensions,dimensions
regulatm,regulators
cznsterndatioj,consternation
internationaj,international
derogat,derogatory
afdcrona,aficionados
premiebe,premiere
guarknte,guarantee
remenant,remnant
laziness,laziness
republwc,republic
kindergabrtwn,kindergarten
adequa,adequate
criticisin,criticising
pzoportional,proportional
diminut,diminutive
populiri,popularity
independeatl,independently
metllu,metallurgy
download,downloads
surreptiiou,surreptitious
disproporionae,disproportionate
excetio,exceptional
obtace,obstacle
symetrical,symmetrical
criticix,criticizing
hawpened,happened
grammaticjll,grammatically
aailabl,available
competi,competition
reforenc,reference
cunabula,incunabula
chlren,children
proceei,proceeding
supersede,superseded
distinu,distinguish
possbesse,possesses
unusablek,unusable
bodybuild,bodybuilder
wfoundland,newfoundland
idiyncrasy,idiosyncrasy
clear,clearer
orwgqnal,originally
armamant,armament
veietavl,vegetable
recat,recall
illoica,illogical
tesqicul,testicular
detruct,destructive
xractitioner,practitioners
sonsciou,conscious
orbidden,forbidden
halleng,challenged
mutilatec,mutilated
ethal,lethal
exagerating,exaggerating
ontende,contender
irriabl,irritable
mdneuves,maneuver
undetectable,undetectable
preferabe,preferably
esconce,ensconced
excelle,excellent
agricultn,agriculture
decommissione,decommissioned
bernoul,bernoulli
idolgi,ideologies
originhl,original
orpginac,originally
millibna,millionaire
systoematicwl,systematically
ortrait,portrait
equalibrium,equilibrium
exercssi,exercising
religiu,religious
enuipren,equipment
esential,essential
adresse,addresses
propogates,propagates
acievemens,achievements
equifpped,equipped
structuru,structural
facildti,facilities
deidabl,decidable
ansounce,announced
immedit,immediately
recomoos,decompose
commeorativ,commemorative
hcjackin,hijacking
ontinuous,continuous
commgunicatio,communication
galacti,galactic
freparat,preparation
docymext,documents
csualt,casualties
comparisr,comparison
searche,searches
susceptr,susceptible
mediterraanea,mediterranean
performf,performed
avnounced,announced
disbedienc,disobedience
haeorh,haemorrhage
inerfe,interfering
surreptieiou,surreptitiously
distributio,distribution
srccisse,successes
nsensit,insensitive
boratory,laboratory
todoidal,toroidal
eqtivala,equivalent
xtradition,extradition
unsulcessfbl,unsuccessfully
unnecss,unnecessary
ideoloi,ideologies
trancendenc,transcendence
casuali,casualties
consftfuction,construction
circulpt,circulation
minatur,miniature
itated,imitated
propagan,propaganda
rspective,perspective
ereebine,preeminence
instrsct,instruction
achevemens,achievements
ociupren,occurrences
consider,considered
maintioned,mentioned
arghitecq,architect
urammaiicall,grammatically
coungcrie,countries
electio,election
ineniou,ingenious
millngra,milligram
ellon  coarnegxe mellb,ellon  carnegie mellon
swtursay,saturdays
zydrophe,hydrophobic
atteimptsr,attempts
dessicated,desiccated
conscioustes,consciousness
cemetei,cemeteries
migrate,emigrated
corresponed,corresponded
seceslar,necessary
proclaimi,proclaiming
prominen,prominent
privitwv,primitively
penorati,pejorative
misdevea,misdemeanor
repepntan,repentant
strermlining,streamlining
uncekrthi,uncertainty
unretecqable,undetectable
nusance,nuisance
increadible,incredible
aubience,audience
impepndin,impending
joureye,journeyed
cbucuses,caucuses
xxercise,exercise
pilsophica,philosophical
relipever,reliever
penizsul,peninsula
resizdect,resident
numexous,numerous
ouveni,souvenir
inbtrume,instrument
oppesi,oppression
yhemselz,themselves
rehembles,resembled
organism,organism
guarane,guarantee
aerodynamicsu,aerodynamics
surpassd,surpassing
whetu,whether
cartdridge,cartridge
catagorized,categorized
autobiograp,autobiography
clinic,clinical
dispenhe,dispensed
coylmboratio,collaborations
univemsitiys,universities
auxiciar,auxiliary
herach,hierarchy
trafic,traffic
hedquarers,headquarters
tennis paye,tennis player
calend,calendar
pccasaonnlly,occasionally
ntuall,naturally
mitting,omitting
incmpatibilitie,incompatibilities
sdpplementex,supplemented
meditergmnea,mediterranean
ahorough,thoroughly
fyancasc,franciscan
severuly,severely
natur,natural
countrie s,countries
dycidqdl,decidedly
signratcr,signatories
oversgadowed,overshadowed
hnsepara,inseparable
aiscraft,aircraft
thenia,athenian
aainoain,maintained
besponsibilkties,responsibilities
forgiwab,formidable
trengthening,strengthening
refkretc,references
rresponded,corresponded
detiiledw,detailed
ubterranean,subterranean
roommateo,roommate
wnhancem,enhancement
fpponent,opponent
rechargable,rechargeable
ctegor,categorized
comtte,committed
encouvag,encouraging
mineu,mineral
svrenuou,strenuous
dosen t,doesn t
presdtigi,prestigious
pecualiar,peculiar
chnfidentsal,confidentially
favowrab,favourable
specaculars,spectaculars
compdlso,compulsory
amensdmxn,amendment
talactici,galactic
siultaeous,simultaneously
ancestre,ancestry
staurateur,restaurateur
diboic,diabolical
ophthalmrolon,ophthalmologist
collegue,colleague
tecnic,technicians
simutaneous,simultaneous
lighap ye,light years
harsme,harassment
aioremzntion,aforementioned
assasinatio,assassination
medici,mediciny
releases,releases
disechante,disenchanted
entriuste,entrusted
avaiaabl,available
recogiz,recognize
braditkonallx,traditionally
mistakably,unmistakably
conribu,contributed
ascinat,fascinated
subconscios,subconsciously
controvekrsie,controversies
tatement,statement
wheteabo,whereabouts
complee,completely
haracterst,characteristics
embezrle,embezzled
pollrnat,pollinator
procllaimt,proclaimed
perurbation,perturbation
exnerien,experience
successuly,successfully
unnecesarl,unnecessarily
predcessors,predecessors
themsklv,themselves
crrespondin,corresponding
supersed,superseded
surpasci,surpassing
restaurteu,restaurateurs
annotnce,announced
griddees,griddles
prrdecessurs,predecessors
